# 2026-07-01 全池(1316 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|-0 -4 5|90 90 3 5|1.2 829
1102 亞泥|水泥工業|-1 -10 1|85 93 1 -3|1.8 567
1103 嘉泥|水泥工業|-8 -13 -7|93 93 -1 -5|1.0 5
1104 環泥|水泥工業|2 -8 -6|87 93 -3 -5|1.2 31
1201 味全|食品工業|-5 -4 3|77 84 -8 -16|0.9 6
1210 大成|食品工業|10 6 5|88 100 3 10|0.8 205
1215 卜蜂|食品工業|2 2 -1|73 73 -11 -12|0.5 227
1216 統一|食品工業|3 3 1|89 93 5 -4|0.8 1096
1218 泰山|食品工業|-1 4 3|91 98 -1 5|0.7 19
1225 福懋油|食品工業|2 4 7|75 85 -7 -1|0.7 8
1227 佳格|食品工業|5 2 1|86 94 -5 -5|0.7 40
1229 聯華|食品工業|-9 -11 -18|85 89 -5 -11|1.1 148
1231 聯華食|食品工業|-3 -2 -6|58 89 -4 -10|0.9 30
1232 大統益|食品工業|10 6 3|97 97 0 4|1.3 24
1234 黑松|食品工業|-23 -6 0|86 91 -3 -8|1.6 6
1256 鮮活果汁-KY|食品工業|24 46 13|88 88 29 35|1.2 19
1264 德麥|食品工業|3 5 5|87 95 -4 -5|0.8 7
1301 台塑|塑膠工業|1 5 17|95 95 19 37|1.7 1776
1303 南亞|塑膠工業|31 23 20|100 100 148 211|0.5 7170
1304 台聚|塑膠工業|-1 4 17|74 74 -26 18|0.4 64
1305 華夏|塑膠工業|21 31 33|70 70 -25 15|0.3 35
1307 三芳|塑膠工業|9 6 6|92 92 6 2|0.9 60
1308 亞聚|塑膠工業|10 4 7|72 72 -24 3|0.4 31
1309 台達化|塑膠工業|-21 -12 15|55 55 -37 26|0.2 57
1310 台苯|塑膠工業|-39 -3 19|83 83 -8 18|1.5 72
1312 國喬|塑膠工業|6 6 -27|93 93 3 19|1.2 194
1313 聯成|塑膠工業|5 7 15|91 91 -2 17|2.3 63
1316 上曜|建材營造|153 127 -51|63 64 -13 -36|0.5 24
1319 東陽|汽車工業|3 -10 2|70 70 -1 -16|1.1 822
1321 大洋|塑膠工業|13 9 26|82 88 -7 -11|0.5 8
1325 恆大|塑膠工業|-31 -28 -10|67 67 -12 -22|0.8 8
1326 台化|塑膠工業|15 22 29|95 95 27 73|1.2 1763
1339 昭輝|汽車工業|15 -6 10|94 95 9 -1|0.5 7
1342 八貫|其他|37 38 22|91 91 29 30|1.0 125
1402 遠東新|紡織纖維|19 10 12|88 97 8 0|0.7 915
1409 新纖|紡織纖維|35 22 28|85 85 66 64|1.5 552
1419 新紡|紡織纖維|2 28 8|81 81 7 -10|0.9 8
1423 利華|紡織纖維|18 -14 -19|90 90 2 5|0.4 11
1432 大魯閣|運動休閒|-39 -40 -25|88 88 -2 -6|0.8 8
1434 福懋|紡織纖維|6 -1 6|91 91 2 4|1.2 44
1436 華友聯|建材營造|45 -13 25|40 68 -15 -29|2.2 21
1440 南紡|紡織纖維|-13 -11 9|85 85 4 -2|0.7 39
1442 名軒|建材營造|-19 -60 -3|39 89 4 -10|0.4 12
