# 2024-11-01 全池(1181 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|53 51 33|92 92 -6 -3|0.7 306
1102 亞泥|水泥工業|-3 0 9|97 97 12 9|0.6 272
1104 環泥|水泥工業|-3 0 -6|85 85 -5 -10|0.8 9
1210 大成|食品工業|-7 -8 0|89 92 -5 -7|0.7 38
1215 卜蜂|食品工業|-7 -4 2|85 85 -3 -11|0.6 33
1216 統一|食品工業|8 8 -7|99 99 12 19|0.8 621
1217 愛之味|食品工業|0 4 3|90 90 -4 -2|0.6 9
1218 泰山|食品工業|-8 -9 -7|85 85 -4 -8|0.6 7
1225 福懋油|食品工業|-13 -13 -1|49 49 -34 34|0.7 14
1227 佳格|食品工業|-7 -3 -3|89 89 -5 1|0.6 18
1229 聯華|食品工業|6 1 -14|86 86 -2 -8|1.1 44
1231 聯華食|食品工業|16 14 8|97 97 0 20|0.7 13
1232 大統益|食品工業|-7 -6 3|98 98 7 11|0.4 16
1256 鮮活果汁-KY|食品工業|-3 -17 -19|53 64 -22 -35|0.6 9
1268 漢來美食|觀光餐旅|27 19 -3|93 93 -2 0|0.4 5
1301 台塑|塑膠工業|0 -0 1|58 70 -18 -30|0.8 622
1303 南亞|塑膠工業|-3 -1 5|61 74 -14 -26|0.6 320
1304 台聚|塑膠工業|-8 -3 2|71 84 -9 -6|0.5 22
1305 華夏|塑膠工業|-5 -20 -6|70 88 -10 -7|0.6 13
1307 三芳|塑膠工業|10 13 6|100 100 57 57|5.8 143
1308 亞聚|塑膠工業|-33 -21 -5|70 85 -8 -8|0.5 13
1309 台達化|塑膠工業|13 32 11|86 86 5 25|0.4 38
1310 台苯|塑膠工業|19 32 6|73 85 -12 -8|0.7 7
1312 國喬|塑膠工業|-12 12 8|75 79 -14 -8|0.8 25
1313 聯成|塑膠工業|-28 -14 -24|70 83 -8 -16|0.8 13
1316 上曜|建材營造|99 101 39|58 67 -29 -25|0.4 50
1319 東陽|汽車工業|1 3 -10|85 89 17 -2|0.7 335
1321 大洋|塑膠工業|-4 -8 -5|78 78 -6 -15|0.4 12
1326 台化|塑膠工業|-11 1 -7|59 67 -22 -32|0.7 285
1336 台翰|電子零組|-3 10 12|84 84 11 23|0.4 15
1339 昭輝|汽車工業|-3 -12 -12|73 73 -4 -26|0.5 5
1342 八貫|其他|-12 -10 -9|68 81 -0 -18|1.4 17
1402 遠東新|紡織纖維|-2 3 -2|95 95 6 14|0.9 273
1409 新纖|紡織纖維|-2 6 -7|88 88 -5 -5|0.4 25
1414 東和|紡織纖維|-23 -15 -14|89 89 0 16|1.5 12
1416 廣豐|其他|13 19 -10|100 100 14 4|1.9 9
1432 大魯閣|運動休閒|-8 -12 -12|77 97 8 5|1.5 8
1434 福懋|紡織纖維|-2 -1 4|79 85 -11 -12|0.7 16
1436 華友聯|建材營造|2367 2254 1012|72 72 -17 -10|1.0 53
1438 三地開發|建材營造|na na na|66 66 -28 11|0.2 11
1440 南紡|紡織纖維|-10 2 15|77 83 -11 -15|0.5 13
1442 名軒|建材營造|413 815 -19465|86 86 6 14|0.4 57
1446 宏和|紡織纖維|5138 5956 3129|75 75 -12 -5|0.6 29
1449 佳和|紡織纖維|-9 -17 -41|89 98 17 32|7.9 10
1455 集盛|紡織纖維|4 25 -11|68 69 -19 -27|0.4 6
1464 得力|紡織纖維|21 32 20|100 100 25 19|2.4 31
1473 台南|紡織纖維|17 9 -5|68 68 2 7|0.7 21
1476 儒鴻|紡織纖維|34 27 7|89 91 -1 5|0.5 210
1477 聚陽|紡織纖維|18 13 3|69 69 -25 -18|1.0 460
1503 士電|電機機械|22 6 2|60 68 -10 -28|0.3 377
1504 東元|電機機械|-18 -11 -5|85 88 4 -10|1.2 221
1513 中興電|電機機械|23 16 -1|68 68 -10 -11|0.3 690
1514 亞力|電機機械|-10 -1 -12|63 72 -11 -14|0.3 293
1515 力山|電機機械|-51 -36 -164|58 67 -18 -31|0.5 9
