# 2023-02-01 全池(872 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|16 11 5|83 92 19 -6|0.9 537
1102 亞泥|水泥工業|-11 -13 -15|95 95 14 3|0.8 162
1104 環泥|水泥工業|27 16 -1|100 100 18 8|1.5 8
1210 大成|食品工業|11 16 4|86 93 13 1|1.6 48
1215 卜蜂|食品工業|13 14 -3|97 97 4 10|1.1 28
1216 統一|食品工業|20 11 0|99 99 2 3|1.1 442
1217 愛之味|食品工業|7 3 1|87 99 18 5|0.5 12
1218 泰山|食品工業|7 4 -7|66 66 -30 -3|0.6 69
1219 福壽|食品工業|8 10 -6|74 90 3 -4|2.7 11
1227 佳格|食品工業|0 -15 -0|84 100 9 0|2.2 16
1229 聯華|食品工業|5 -6 -14|78 91 11 -6|1.5 41
1231 聯華食|食品工業|20 17 4|98 100 23 4|2.0 12
1232 大統益|食品工業|42 20 -1|89 89 -3 -5|0.7 10
1234 黑松|食品工業|-3 7 4|96 98 1 -1|1.8 13
1268 漢來美食|觀光餐旅|16 17 -64|95 95 25 26|0.7 13
1301 台塑|塑膠工業|-34 -31 -25|88 94 8 -3|1.2 470
1303 南亞|塑膠工業|-31 -30 -18|89 97 10 11|0.9 323
1304 台聚|塑膠工業|-7 -21 -15|83 99 15 7|1.2 68
1305 華夏|塑膠工業|3 -28 -17|88 100 46 16|1.1 133
1308 亞聚|塑膠工業|-10 -14 -18|81 99 17 13|1.2 35
1309 台達化|塑膠工業|-13 -27 -15|77 100 15 1|1.0 21
1312 國喬|塑膠工業|-28 -31 -12|77 97 14 3|0.9 61
1313 聯成|塑膠工業|-29 -25 -14|71 100 21 0|2.0 21
1314 中石化|塑膠工業|-57 -57 -30|76 92 8 0|1.0 47
1316 上曜|建材營造|33 50 -123|43 71 -3 -26|1.0 6
1319 東陽|汽車工業|2 8 -8|81 81 -2 -9|0.7 168
1325 恆大|塑膠工業|-27 -22 20|47 86 14 3|0.4 12
1326 台化|塑膠工業|-8 -9 -13|94 95 5 5|1.5 160
1336 台翰|電子零組|15 28 -3|97 97 34 43|3.0 6
1342 八貫|其他|7 11 -18|93 93 57 97|0.7 286
1402 遠東新|紡織纖維|-8 -3 -14|98 98 2 9|0.7 185
1409 新纖|紡織纖維|-19 -21 -26|91 98 12 7|0.8 22
1417 嘉裕|紡織纖維|-11 -10 -30|93 93 37 47|0.4 54
1434 福懋|紡織纖維|-11 -8 -14|97 98 5 5|1.1 18
1440 南紡|紡織纖維|-4 7 -4|71 91 5 -1|1.0 10
1442 名軒|建材營造|5046 1621 1262|83 83 8 42|0.9 36
1443 立益物流|其他|-19 -35 -43|100 100 64 101|6.6 6
1444 力麗|紡織纖維|-48 -19 -36|87 87 0 5|0.4 16
1451 年興|紡織纖維|-42 -11 -22|78 78 -0 -7|0.7 5
1467 南緯|紡織纖維|-33 -31 -25|77 91 1 -5|0.9 33
1475 業旺|紡織纖維|20 30 -325|94 100 42 22|0.8 8
1476 儒鴻|紡織纖維|-37 -20 -34|81 97 15 21|1.6 405
1477 聚陽|紡織纖維|-22 -2 -15|88 88 7 51|1.8 404
1503 士電|電機機械|4 17 6|94 94 15 3|1.4 42
1504 東元|電機機械|1 7 -4|90 96 -1 0|1.2 56
1513 中興電|電機機械|-20 -4 -11|99 99 58 36|1.3 1513
1514 亞力|電機機械|63 52 16|95 98 34 5|1.9 128
1515 力山|電機機械|-77 -82 -7|64 85 9 -8|0.6 11
1517 利奇|電機機械|-35 -33 -39|77 81 -6 -6|0.3 7
1519 華城|電機機械|-22 -9 4|98 98 48 52|1.4 485
1522 堤維西|汽車工業|10 14 -2|88 88 12 -8|0.4 50
1524 耿鼎|汽車工業|27 16 -10|88 88 20 -4|0.8 71
1526 日馳|電機機械|-34 -16 -38|73 73 -2 2|0.3 6
1527 鑽全|電機機械|-34 -29 -16|94 98 9 6|1.5 5
1529 樂事綠能|電機機械|7 44 -6|74 99 43 59|1.6 142
1532 勤美|電機機械|-55 -47 -32|89 98 12 4|1.9 5
1533 車王電|汽車工業|-36 21 -1|73 81 7 -15|0.8 6
1536 和大|汽車工業|15 7 -3|77 77 -6 -11|0.9 99
1539 巨庭|電機機械|-74 -69 -55|60 60 7 -5|0.2 9
1558 伸興|電機機械|3 49 45|87 91 11 -8|0.4 5
1560 中砂|電機機械|-2 4 -11|71 71 16 -21|0.7 319
1565 精華|生技醫療|-10 -13 -6|92 97 23 5|0.9 22
1580 新麥|電機機械|-11 -13 -7|93 94 12 2|1.3 10
1584 精剛|其他|101 50 -16|97 97 60 20|0.8 147
1589 永冠-KY|電機機械|16 21 16|95 100 35 23|2.4 23
1590 亞德客-KY|電機機械|-8 10 7|100 100 49 30|1.6 551
1598 岱宇|運動休閒|-21 -21 18|93 96 19 14|0.5 6
1603 華電|電器電纜|33 45 0|84 92 3 -1|0.9 6
1605 華新|電器電纜|-16 -5 -24|100 100 51 67|1.1 3087
1608 華榮|電器電纜|-19 -16 -20|74 100 20 10|2.6 9
1609 大亞|電器電纜|-12 -11 -9|84 100 43 11|2.8 66
1611 中電|電器電纜|-13 -16 -5|68 75 -3 -27|1.0 6
1612 宏泰|電器電纜|59 24 20|70 99 36 18|3.1 13
1618 合機|電器電纜|-20 35 14|96 96 5 25|0.9 13
1701 中化|生技醫療|31 16 9|72 72 31 27|0.9 350
1702 南僑|食品工業|-6 4 0|96 99 6 3|0.5 7
1707 葡萄王|生技醫療|5 7 1|100 100 43 34|1.3 131
1708 東鹼|化學工業|-4 22 -55|62 81 4 -9|0.8 62
1709 和益|化學工業|-6 14 -1|78 93 13 4|0.9 9
1710 東聯|化學工業|-22 -22 -4|85 99 11 8|0.8 16
1711 永光|化學工業|-22 -19 -16|71 89 9 -3|0.5 13
1712 興農|化學工業|-4 12 -11|85 85 7 11|0.8 30
1717 長興|化學工業|-19 -10 -8|81 91 5 -3|1.0 32
1720 生達|生技醫療|9 30 2|86 86 26 25|0.2 209
1721 三晃|化學工業|0 -16 -23|62 88 17 0|0.6 7
1722 台肥|化學工業|-37 -27 -47|70 87 7 -9|1.3 69
1723 中碳|化學工業|5 9 -24|87 92 6 -8|0.9 14
1732 毛寶|化學工業|-13 -13 -8|58 76 8 0|0.4 14
1733 五鼎|生技醫療|-19 -9 -16|88 88 7 -7|0.5 5
1734 杏輝|生技醫療|11 19 2|86 86 12 11|0.4 66
1736 喬山|運動休閒|12 22 13|86 86 -6 37|0.7 124
1752 南光|生技醫療|31 34 25|83 83 69 60|0.5 791
1760 寶齡富錦|生技醫療|-7 -1 -26|89 89 21 50|0.3 1181
1762 中化生|生技醫療|-39 19 -4|89 89 20 8|0.3 71
1773 勝一|化學工業|-21 -19 -23|77 94 36 -4|2.0 14
1777 生泰|生技醫療|41 87 48|92 92 6 21|0.3 7
1783 和康生|生技醫療|50 20 -1|99 99 54 36|1.5 108
1784 訊聯|生技醫療|20 20 13|99 99 19 14|0.4 10
1785 光洋科|其他電子|-34 -37 -19|70 91 28 -3|0.9 23
1786 科妍|生技醫療|-5 20 7|95 95 18 38|0.5 24
1789 神隆|生技醫療|185 60 38|90 90 8 5|0.6 30
1795 美時|生技醫療|39 14 -3|88 88 59 81|0.7 2755
1802 台玻|玻璃陶瓷|-17 -15 -0|93 93 14 34|0.5 108
1808 潤隆|建材營造|69 -42 32|99 99 9 28|1.0 20
1809 中釉|玻璃陶瓷|-9 4 -16|97 100 19 24|3.5 8
1810 和成|玻璃陶瓷|-18 -21 -17|89 89 80 74|0.6 91
1815 富喬|電子零組|-26 -20 -9|82 82 10 5|1.0 8
1904 正隆|造紙工業|-18 -12 -10|84 99 11 7|1.4 17
1905 華紙|造紙工業|2 6 -2|73 91 1 2|0.9 9
1907 永豐餘|造紙工業|-13 -9 -3|77 91 -4 9|0.6 25
1909 榮成|造紙工業|-17 -15 -12|86 99 24 22|1.9 111
2002 中鋼|鋼鐵工業|-24 -26 -24|89 100 18 13|0.8 667
2006 東和鋼鐵|鋼鐵工業|-4 -13 -17|76 99 13 9|1.2 60
2007 燁興|鋼鐵工業|-21 -20 -19|60 99 33 0|1.0 34
2009 第一銅|鋼鐵工業|-40 -30 -23|73 100 30 34|2.4 78
2010 春源|鋼鐵工業|-28 -23 -17|67 98 11 3|1.4 6
2013 中鋼構|鋼鐵工業|-3 16 -7|99 100 11 1|1.0 9
2014 中鴻|鋼鐵工業|-38 -41 -27|66 99 40 7|0.9 534
2015 豐興|鋼鐵工業|-6 -18 -21|75 100 19 6|1.3 8
2017 官田鋼|鋼鐵工業|-46 -30 -19|85 100 28 26|2.0 7
2023 燁輝|鋼鐵工業|-34 -28 -23|71 100 18 12|1.4 56
2027 大成鋼|鋼鐵工業|-1 -2 -21|87 100 16 28|0.8 322
2028 威致|鋼鐵工業|40 -4 -5|76 100 42 29|1.5 49
2029 盛餘|鋼鐵工業|-30 -39 -30|70 100 10 10|1.4 10
2030 彰源|鋼鐵工業|-32 -29 -39|66 94 8 7|1.1 32
2031 新光鋼|鋼鐵工業|21 30 6|71 99 36 31|1.5 90
2032 新鋼|鋼鐵工業|26 -11 -10|62 100 32 14|1.1 20
2033 佳大|鋼鐵工業|-20 -15 -12|63 96 29 7|1.6 11
2034 允強|鋼鐵工業|-5 -25 -24|87 100 20 4|1.1 35
2038 海光|鋼鐵工業|-25 -15 -25|72 100 34 18|1.5 34
2049 上銀|電機機械|-17 -17 -25|82 100 37 7|3.7 171
2059 川湖|電子零組|-2 10 -15|82 82 -6 -11|1.3 94
2063 世鎧精密|鋼鐵工業|2 -9 -11|99 99 30 44|0.7 8
