# 2023-06-01 全池(1114 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|9 20 10|94 95 0 14|1.2 907
1102 亞泥|水泥工業|-18 11 14|98 98 -1 7|1.1 187
1103 嘉泥|水泥工業|31 34 19|97 97 4 17|2.3 8
1104 環泥|水泥工業|1 32 12|92 92 14 29|0.4 58
1108 幸福|水泥工業|18 39 13|89 89 11 44|0.4 19
1110 東泥|水泥工業|92 64 49|91 92 3 3|1.7 10
1201 味全|食品工業|13 12 9|97 97 -3 6|1.1 8
1210 大成|食品工業|-3 7 -2|98 98 5 21|0.6 101
1215 卜蜂|食品工業|13 9 -2|92 92 9 16|0.6 104
1216 統一|食品工業|3 9 -0|98 98 9 14|1.3 390
1217 愛之味|食品工業|14 7 4|98 98 -0 14|0.6 9
1218 泰山|食品工業|-10 -2 -8|66 66 2 -24|1.5 77
1219 福壽|食品工業|-12 0 -10|92 92 -6 10|0.3 12
1227 佳格|食品工業|-4 -3 10|89 96 -2 2|1.3 58
1229 聯華|食品工業|-4 13 7|99 99 16 25|0.7 66
1231 聯華食|食品工業|-0 10 -3|95 95 6 25|0.7 18
1232 大統益|食品工業|-7 10 -9|94 98 4 3|0.9 6
1234 黑松|食品工業|8 30 16|99 99 6 13|0.7 11
1268 漢來美食|觀光餐旅|80 36 -59|99 99 7 44|1.0 56
1301 台塑|塑膠工業|-36 -25 -4|92 99 3 4|2.0 549
1303 南亞|塑膠工業|-28 -30 -5|96 96 3 1|1.5 432
1304 台聚|塑膠工業|-25 -19 -4|84 84 -7 11|0.7 27
1305 華夏|塑膠工業|-33 -28 -5|79 81 -14 13|0.6 29
1307 三芳|塑膠工業|-25 -5 -33|96 96 11 10|1.2 20
1308 亞聚|塑膠工業|-10 -16 -12|86 86 -10 -3|0.6 27
1309 台達化|塑膠工業|-23 -18 1|75 85 -13 1|0.7 7
1310 台苯|塑膠工業|-26 -28 -14|96 96 21 26|0.6 44
1312 國喬|塑膠工業|-22 -6 13|86 90 -4 7|0.6 30
1313 聯成|塑膠工業|-3 -1 15|82 91 -5 11|0.9 10
1316 上曜|建材營造|-65 1 -130|58 90 6 2|0.7 13
1319 東陽|汽車工業|-2 17 3|89 97 14 9|0.5 180
1325 恆大|塑膠工業|-44 -21 8|85 89 9 15|1.5 6
1326 台化|塑膠工業|-30 -17 -11|88 90 -3 -8|1.4 164
1336 台翰|電子零組|-12 9 -11|80 80 -17 -7|0.7 7
1340 勝悅-KY|塑膠工業|134 53 63|97 97 19 30|0.8 6
1342 八貫|其他|-4 -5 -19|76 76 -18 48|0.2 93
1402 遠東新|紡織纖維|-9 -3 -8|95 95 -2 -0|1.8 160
1409 新纖|紡織纖維|-28 -24 -13|92 92 -7 -2|0.8 30
1417 嘉裕|紡織纖維|10 17 -0|86 86 -1 15|0.7 7
1423 利華|紡織纖維|-41 -35 -16|97 97 14 15|1.0 6
1432 大魯閣|運動休閒|44 15 -74|76 76 -6 36|0.6 10
1434 福懋|紡織纖維|-25 -17 -15|99 99 2 6|0.9 22
1437 勤益控|其他|-0 4 -7|92 92 -4 15|0.3 8
1440 南紡|紡織纖維|-9 -2 -8|81 89 -10 -6|0.9 13
1442 名軒|建材營造|-12 173 -236|85 85 2 -4|0.6 18
1444 力麗|紡織纖維|-51 -28 -19|87 92 -1 -1|0.5 10
1445 大宇|紡織纖維|-6 21 6|100 100 47 45|2.0 5
1451 年興|紡織纖維|-36 -30 -25|78 90 -9 -0|0.5 6
1476 儒鴻|紡織纖維|-31 -32 -26|92 92 1 6|1.1 226
1477 聚陽|紡織纖維|-9 1 -6|96 96 12 6|0.9 271
1503 士電|電機機械|13 20 5|99 99 84 157|0.9 2236
1504 東元|電機機械|4 9 -1|99 99 65 86|0.6 1366
1513 中興電|電機機械|-2 14 1|97 97 20 103|0.7 2119
1514 亞力|電機機械|22 23 -11|99 99 36 88|0.7 564
1515 力山|電機機械|-16 -40 29|79 88 -1 0|0.7 8
1519 華城|電機機械|122 55 52|99 99 129 254|1.0 3348
1522 堤維西|汽車工業|-10 -1 -11|90 94 1 8|0.3 34
1524 耿鼎|汽車工業|-14 20 4|82 88 -2 -1|0.6 25
