# 2025-02-03 全池(1091 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|74 78 37|91 92 -1 -8|1.0 261
1102 亞泥|水泥工業|12 5 8|85 85 -13 -2|0.5 210
1104 環泥|水泥工業|2 -4 -7|77 85 -6 -14|0.7 10
1210 大成|食品工業|-1 -3 3|91 95 3 -5|0.6 52
1215 卜蜂|食品工業|1 2 6|82 92 -3 -8|0.7 35
1216 統一|食品工業|5 7 -6|88 88 -11 -2|0.9 514
1217 愛之味|食品工業|7 12 7|89 94 0 -6|1.0 6
1218 泰山|食品工業|-3 -8 -4|82 90 -3 -8|0.5 8
1220 台榮|食品工業|2 14 7|85 85 4 8|0.3 7
1225 福懋油|食品工業|1 -6 5|26 26 -50 -67|2.1 90
1227 佳格|食品工業|13 6 2|82 87 -7 -12|0.7 16
1229 聯華|食品工業|-36 -24 -24|73 81 -15 -18|1.4 103
1231 聯華食|食品工業|20 21 8|100 100 34 27|1.2 45
1232 大統益|食品工業|-3 -3 3|93 93 -5 2|0.7 5
1268 漢來美食|觀光餐旅|15 15 -7|93 95 -1 -3|0.7 7
1301 台塑|塑膠工業|9 6 4|45 59 -28 -41|1.6 1009
1303 南亞|塑膠工業|15 8 8|49 63 -25 -38|1.2 408
1304 台聚|塑膠工業|-5 -2 0|60 69 -20 -29|1.6 38
1305 華夏|塑膠工業|-27 -22 -4|58 67 -23 -31|1.2 14
1307 三芳|塑膠工業|7 6 -1|81 81 -6 27|0.5 52
1308 亞聚|塑膠工業|-12 -7 2|64 72 -13 -25|0.5 11
1309 台達化|塑膠工業|13 17 -7|61 61 -27 -28|0.8 14
1312 國喬|塑膠工業|16 2 -4|72 76 -9 -23|1.0 31
1316 上曜|建材營造|278 226 98|53 61 -5 -33|0.6 50
1319 東陽|汽車工業|5 6 -3|86 92 3 17|0.9 306
1321 大洋|塑膠工業|9 2 4|82 82 4 -3|1.6 7
1325 恆大|塑膠工業|-43 -22 -1|85 92 30 27|1.9 143
1326 台化|塑膠工業|-5 -7 -13|46 56 -29 -44|1.3 430
1342 八貫|其他|25 2 2|76 100 10 10|0.7 19
1402 遠東新|紡織纖維|9 6 1|79 79 -19 -9|0.4 250
1409 新纖|紡織纖維|40 24 6|84 88 -3 -10|1.0 20
1414 東和|紡織纖維|-14 -18 -12|96 96 11 8|1.1 14
1432 大魯閣|運動休閒|4 -2 0|87 100 13 20|0.9 7
1434 福懋|紡織纖維|9 6 5|75 82 -6 -17|0.9 24
1436 華友聯|建材營造|5813 1904 202|63 67 -3 -28|0.4 21
1438 三地開發|建材營造|na na na|59 59 -9 -35|0.4 14
1440 南紡|紡織纖維|-7 -9 1|68 74 -10 -23|0.5 7
1442 名軒|建材營造|-86 -63 -1263|100 100 31 31|0.8 212
1446 宏和|紡織纖維|-61 1477 -1469|67 69 -4 -25|0.2 23
1449 佳和|紡織纖維|19 8 -9|67 67 -15 -3|0.1 44
1464 得力|紡織纖維|25 30 7|96 96 4 30|0.9 23
1473 台南|紡織纖維|27 5 -12|63 87 -7 -9|1.2 12
1476 儒鴻|紡織纖維|28 13 -7|93 93 1 3|1.0 186
