# 2022-07-01 全池(977 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|-21 -11 -9|78 80 -20 -16|0.9 699
1102 亞泥|水泥工業|3 10 1|89 91 -9 0|0.9 252
1103 嘉泥|水泥工業|-17 -6 -6|80 84 -14 -13|0.7 6
1104 環泥|水泥工業|1 8 -0|95 98 2 0|0.9 12
1201 味全|食品工業|0 0 -3|84 88 -6 -9|0.4 10
1210 大成|食品工業|5 4 -14|85 85 -12 -9|0.4 35
1215 卜蜂|食品工業|11 14 -2|93 93 -2 -1|0.8 23
1216 統一|食品工業|9 10 4|93 97 3 -1|1.2 368
1217 愛之味|食品工業|-13 1 -2|79 79 -12 -4|0.2 13
1218 泰山|食品工業|9 12 -3|96 96 10 14|0.2 14
1219 福壽|食品工業|23 25 8|71 71 0 0|0.2 33
1220 台榮|食品工業|15 5 -8|62 62 -11 -2|0.1 11
1227 佳格|食品工業|-17 -3 4|86 86 -8 -13|0.6 40
1229 聯華|食品工業|8 18 -3|78 78 -14 -10|0.5 62
1231 聯華食|食品工業|13 15 7|96 96 7 25|1.0 24
1232 大統益|食品工業|20 13 1|94 96 2 -0|0.9 19
1236 宏亞|食品工業|42 38 30|83 84 -1 -8|2.9 34
1301 台塑|塑膠工業|2 4 -27|92 99 1 3|1.3 933
1303 南亞|塑膠工業|-5 -4 -36|88 88 -12 -4|1.0 687
1304 台聚|塑膠工業|7 -2 -27|58 74 -20 -24|0.6 61
1305 華夏|塑膠工業|17 11 -21|64 81 -16 -14|0.6 28
1308 亞聚|塑膠工業|18 -2 -52|54 67 -27 -26|0.6 56
1309 台達化|塑膠工業|-11 -11 -24|64 76 -21 -22|1.0 13
1310 台苯|塑膠工業|14 40 -3|61 79 -17 -19|3.6 13
1312 國喬|塑膠工業|-9 -8 -18|66 76 -18 -23|1.0 68
1313 聯成|塑膠工業|8 2 -29|53 71 -17 -26|0.8 21
1316 上曜|建材營造|99 152 73|54 54 -30 -28|0.5 38
1319 東陽|汽車工業|22 19 9|90 90 48 44|2.6 541
1325 恆大|塑膠工業|-60 -64 12|32 45 -43 -42|0.3 8
1326 台化|塑膠工業|9 11 -19|93 95 -2 -3|1.8 446
1338 廣華-KY|汽車工業|15 -2 -9|84 92 -0 -1|1.7 30
1339 昭輝|汽車工業|6 2 12|89 89 11 11|1.9 16
1342 八貫|其他|38 40 -7|83 83 -0 -0|0.6 14
1402 遠東新|紡織纖維|16 18 1|97 97 2 7|1.2 222
1409 新纖|紡織纖維|9 10 -20|83 83 -14 -11|0.7 28
1432 大魯閣|運動休閒|56 25 36|59 59 -11 0|0.6 9
1434 福懋|紡織纖維|5 4 -10|82 90 -6 -10|0.7 40
1440 南紡|紡織纖維|24 4 -6|62 71 -24 -28|0.7 36
1444 力麗|紡織纖維|31 49 3|74 88 -11 -10|0.7 14
1451 年興|紡織纖維|51 26 9|94 94 13 9|1.1 13
1453 大將|建材營造|62495 67317 33157|51 51 62 105|0.4 78
1454 台富|紡織纖維|45 38 -10|72 72 -14 -11|0.4 14
1455 集盛|紡織纖維|-21 7 -27|43 62 -38 -35|0.8 16
1457 宜進|紡織纖維|9 16 -30|90 90 -3 -6|1.0 12
1467 南緯|紡織纖維|7 6 26|84 90 -2 -3|1.3 15
1476 儒鴻|紡織纖維|1 13 -4|61 63 -15 -36|1.4 316
1477 聚陽|紡織纖維|54 17 -1|54 57 -29 -41|1.6 205
1503 士電|電機機械|6 5 -1|96 96 16 12|1.7 25
1504 東元|電機機械|11 12 -1|90 91 -3 -3|2.6 97
1506 正道|電機機械|22 23 -8|79 79 18 7|0.3 9
1513 中興電|電機機械|35 4 -11|96 96 3 24|3.3 391
1514 亞力|電機機械|28 41 17|91 91 4 13|1.7 115
1515 力山|電機機械|-84 -77 -72|33 49 -36 -51|0.9 33
1516 川飛|其他|94 41 -37|66 66 -34 -10|0.6 11
1517 利奇|電機機械|16 9 -14|67 76 -9 -22|3.6 18
1519 華城|電機機械|-14 -21 -19|73 76 -24 -9|1.2 20
1522 堤維西|汽車工業|19 20 5|91 91 52 44|0.9 465
1524 耿鼎|汽車工業|32 50 32|77 77 72 66|1.0 777
1526 日馳|電機機械|29 32 -13|74 80 -7 -9|1.4 16
1527 鑽全|電機機械|-3 5 -10|85 91 1 -1|0.7 50
1529 樂事綠能|電機機械|-31 92 -3|49 49 -31 -21|0.2 13
1532 勤美|電機機械|-4 -6 -38|85 85 -10 -4|0.9 8
1533 車王電|汽車工業|-11 -3 -9|75 75 -10 -8|0.3 134
1536 和大|汽車工業|2 10 -4|54 67 -24 -33|1.7 51
1537 廣隆|電機機械|5 2 21|90 96 -2 -2|0.8 9
1539 巨庭|電機機械|-14 3 -23|74 74 36 20|1.8 115
1540 喬福|電機機械|30 58 42|90 90 2 -1|0.3 6
1541 錩泰|電機機械|-34 -4 -18|67 67 -10 -11|0.5 24
1558 伸興|電機機械|-13 -22 1|86 93 -1 -4|1.2 6
1560 中砂|電機機械|18 18 1|79 79 3 28|1.3 4588
1565 精華|生技醫療|-13 -5 -14|63 76 -12 -18|1.5 20
1568 倉佑|汽車工業|44 12 12|73 73 11 -4|0.6 90
1569 濱川|電腦及週|45 54 33|78 80 -10 -8|0.3 13
1580 新麥|電機機械|12 -4 -18|89 89 -8 -9|1.0 10
1582 信錦|電子零組|17 8 1|84 91 -8 -5|0.9 8
1584 精剛|其他|88 84 2|67 67 -1 -4|0.2 25
1587 吉茂|汽車工業|14 10 -7|82 85 -3 -12|0.4 7
1589 永冠-KY|電機機械|14 -3 3|75 77 -15 -9|0.5 31
1590 亞德客-KY|電機機械|19 10 -5|84 89 5 -6|0.9 766
1591 駿吉-KY|電機機械|25 8 31|72 72 -21 27|0.2 15
1597 直得|電機機械|1 -11 -27|58 78 -11 -18|0.5 8
