# 2024-03-01 全池(1192 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|-1 -12 -11|81 90 -6 -9|1.1 388
1102 亞泥|水泥工業|35 -2 1|94 95 -4 -0|0.5 91
1104 環泥|水泥工業|35 20 3|98 98 6 7|1.0 19
1108 幸福|水泥工業|55 31 1|89 98 6 6|1.3 6
1201 味全|食品工業|15 17 7|91 97 -0 1|1.9 5
1210 大成|食品工業|3 -4 -4|95 99 7 8|0.8 87
1215 卜蜂|食品工業|6 -4 -7|99 99 4 5|1.0 30
1216 統一|食品工業|28 19 5|99 99 5 4|0.8 395
1217 愛之味|食品工業|3 -1 -3|80 92 0 -8|0.9 10
1218 泰山|食品工業|13 2 -0|65 86 -2 -13|1.1 11
1227 佳格|食品工業|37 6 3|91 94 -4 -2|1.1 14
1229 聯華|食品工業|30 38 22|95 95 -1 8|1.1 52
1231 聯華食|食品工業|8 -2 -4|94 97 -3 1|1.3 11
1232 大統益|食品工業|3 -11 -8|98 100 1 1|1.8 6
1268 漢來美食|觀光餐旅|-5 8 -30|82 93 1 6|1.2 11
1301 台塑|塑膠工業|22 2 16|79 86 -12 -11|1.0 377
1303 南亞|塑膠工業|1 -11 12|75 84 -14 -13|1.6 271
1304 台聚|塑膠工業|11 -6 11|69 83 -8 -14|0.6 14
1305 華夏|塑膠工業|-16 -10 8|71 76 -14 -16|0.9 18
1307 三芳|塑膠工業|26 9 12|98 98 2 11|1.2 9
1308 亞聚|塑膠工業|28 -11 14|75 84 -8 -13|0.9 12
1309 台達化|塑膠工業|37 14 23|74 91 -2 -5|0.7 11
1310 台苯|塑膠工業|51 19 33|81 85 -14 -6|0.7 6
1312 國喬|塑膠工業|-2 -4 7|70 82 -13 -14|0.5 26
1313 聯成|塑膠工業|95 44 28|84 90 -7 -4|0.8 19
1316 上曜|建材營造|67 11 47|100 100 83 110|5.4 173
1319 東陽|汽車工業|53 35 17|100 100 36 52|1.2 596
1325 恆大|塑膠工業|30 -3 15|71 71 26 50|0.3 50
1326 台化|塑膠工業|10 6 15|79 85 -11 -9|1.0 183
1339 昭輝|汽車工業|53 22 11|100 100 16 66|1.3 18
1342 八貫|其他|-30 -15 -10|81 100 13 18|4.1 29
1402 遠東新|紡織纖維|22 12 12|98 98 5 12|0.9 112
1409 新纖|紡織纖維|32 20 27|87 97 -2 -2|1.1 17
1432 大魯閣|運動休閒|-17 -3 -18|93 93 26 37|1.8 28
1434 福懋|紡織纖維|-4 -13 4|88 91 -7 -8|0.7 18
1436 華友聯|建材營造|76 52 -476|100 100 18 37|1.0 7
1438 三地開發|建材營造|-100 -63 na|92 92 57 63|1.8 21
1440 南紡|紡織纖維|5 -16 -6|86 90 -5 3|0.7 11
1442 名軒|建材營造|7063 77394 57489|97 97 2 14|0.8 10
1444 力麗|紡織纖維|2 -17 12|92 93 -5 -2|1.1 12
1445 大宇|紡織纖維|-15 -19 -13|100 100 28 21|2.2 8
1449 佳和|紡織纖維|204 93 62|87 87 -10 18|0.7 24
1455 集盛|紡織纖維|84 50 50|100 100 13 33|1.9 9
1471 首利|電子零組|86 33 9|69 69 -10 -22|1.2 21
1476 儒鴻|紡織纖維|25 12 26|95 95 -3 14|1.3 336
1477 聚陽|紡織纖維|15 15 10|93 93 1 12|0.5 350
1503 士電|電機機械|24 5 -1|98 98 77 44|2.8 2694
1504 東元|電機機械|9 -0 -4|82 93 3 -2|1.6 325
1513 中興電|電機機械|9 17 -1|100 100 44 52|3.7 4543
1514 亞力|電機機械|23 39 17|100 100 66 110|2.2 1595
1515 力山|電機機械|266 209 109|80 80 -17 40|0.6 52
1519 華城|電機機械|267 157 53|96 96 102 84|0.3 5889
1522 堤維西|汽車工業|23 7 4|100 100 30 58|3.6 206
1524 耿鼎|汽車工業|71 40 18|95 95 23 65|1.6 141
1527 鑽全|電機機械|12 -1 21|96 98 2 5|1.2 6
1528 恩德|電機機械|-6 -6 -8|82 90 27 16|0.5 89
1529 樂事綠能|電機機械|-35 86 -118|74 97 12 5|1.8 83
1532 勤美|電機機械|66 56 22|92 92 -0 8|0.8 33
1533 車王電|汽車工業|-11 -21 -46|76 88 -8 -5|0.9 6
1535 中宇|電機機械|19 24 10|100 100 20 27|3.7 8
1536 和大|汽車工業|3 -10 -2|75 82 -12 -16|4.5 80
1537 廣隆|電機機械|29 20 26|99 100 0 2|1.4 10
1558 伸興|電機機械|38 18 1|85 90 -2 1|1.1 7
1560 中砂|電機機械|16 5 10|93 93 43 100|1.7 1189
1565 精華|生技醫療|22 9 16|80 99 6 5|1.5 32
1568 倉佑|汽車工業|21 -19 -1|88 88 6 31|1.2 25
1569 濱川|電腦及週|-27 -24 2|100 100 12 16|1.9 8
1570 力肯|電機機械|37 -19 9|100 100 27 23|0.9 6
1580 新麥|電機機械|68 33 11|98 98 0 26|1.3 11
1582 信錦|電子零組|53 34 31|83 83 -1 33|0.2 115
1584 精剛|其他|39 27 -40|83 89 -3 0|0.5 36
1589 永冠-KY|電機機械|15 -8 -8|69 100 16 4|4.1 30
1590 亞德客-KY|電機機械|96 43 17|98 99 14 33|1.5 731
1591 駿吉-KY|電機機械|58 11 76|100 100 60 55|0.5 39
1598 岱宇|運動休閒|-20 -3 -11|64 84 -11 -1|1.7 6
1603 華電|電器電纜|85 18 -17|89 89 -1 7|1.2 41
1604 聲寶|電器電纜|2 -1 -1|88 97 2 5|0.8 7
1605 華新|電器電纜|-11 -5 -10|64 90 -7 -2|0.6 263
1608 華榮|電器電纜|22 13 20|93 98 15 11|1.9 20
1609 大亞|電器電纜|36 22 18|96 98 11 6|2.2 366
1611 中電|電器電纜|15 6 15|81 97 3 -1|1.1 10
1612 宏泰|電器電纜|-7 -3 -2|90 90 9 9|0.4 29
