# 2022-08-01 全池(896 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|8 -9 -9|86 89 -1 -5|0.7 565
1102 亞泥|水泥工業|9 8 -2|90 92 -5 -0|1.8 413
1104 環泥|水泥工業|41 21 8|100 100 16 8|0.6 12
1201 味全|食品工業|2 -1 -4|87 91 -6 -3|0.7 10
1210 大成|食品工業|4 3 -13|87 87 -7 -6|0.7 23
1215 卜蜂|食品工業|15 12 -4|95 95 2 -4|1.4 23
1216 統一|食品工業|13 11 4|96 99 4 4|0.8 522
1217 愛之味|食品工業|-13 -5 -6|87 87 -1 5|0.8 15
1218 泰山|食品工業|10 11 -5|93 93 12 29|0.3 49
1219 福壽|食品工業|31 25 6|78 78 -13 11|0.5 26
1220 台榮|食品工業|8 6 -6|70 70 -19 6|0.4 9
1227 佳格|食品工業|-31 -19 -8|82 85 -8 -14|0.6 27
1229 聯華|食品工業|33 21 -0|84 84 7 -1|1.2 63
1231 聯華食|食品工業|11 14 6|96 96 2 25|0.5 23
1232 大統益|食品工業|50 24 6|95 97 4 3|0.5 6
1236 宏亞|食品工業|37 36 26|88 94 7 11|0.5 17
1258 其祥-KY|食品工業|36 17 13|85 85 -3 25|3.0 9
1301 台塑|塑膠工業|4 3 -23|85 91 -5 -6|0.6 999
1303 南亞|塑膠工業|-7 -9 -35|81 81 -13 -16|0.5 745
1304 台聚|塑膠工業|1 1 -20|61 79 -8 -13|1.2 101
1305 華夏|塑膠工業|-11 7 -18|61 77 -15 -18|1.9 40
1308 亞聚|塑膠工業|13 1 -44|59 73 -10 -20|1.4 51
1309 台達化|塑膠工業|-2 -9 -17|67 78 -11 -21|2.5 15
1310 台苯|塑膠工業|4 11 -28|63 79 -12 -19|0.4 9
1312 國喬|塑膠工業|-6 -7 -14|71 76 -14 -21|0.3 78
1313 聯成|塑膠工業|-0 -2 -28|58 73 -11 -25|0.5 17
1314 中石化|塑膠工業|-27 -11 -75|77 77 -7 -14|0.6 95
1316 上曜|建材營造|920 413 249|58 63 -19 -35|0.2 24
1319 東陽|汽車工業|21 22 12|97 97 58 57|0.5 552
1325 恆大|塑膠工業|-66 -63 13|40 56 -28 -43|0.6 8
