# 2024-01-02 全池(1129 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|-9 -14 -17|88 92 6 -5|0.4 306
1102 亞泥|水泥工業|-17 -11 -3|97 97 5 -1|0.6 268
1104 環泥|水泥工業|23 10 -5|98 98 16 7|0.5 29
1108 幸福|水泥工業|31 20 -7|89 89 11 0|0.8 8
1210 大成|食品工業|-7 -7 -7|95 95 12 13|1.0 127
1215 卜蜂|食品工業|-7 -2 -5|98 98 3 8|0.5 27
1216 統一|食品工業|18 17 5|98 99 8 3|0.6 496
1217 愛之味|食品工業|1 3 -1|84 84 1 -4|0.9 11
1218 泰山|食品工業|5 4 1|60 84 3 -13|0.9 15
1227 佳格|食品工業|-3 -0 0|94 97 5 -2|0.7 15
1229 聯華|食品工業|25 17 9|97 97 8 4|0.7 61
1231 聯華食|食品工業|-5 -3 -6|95 95 -0 -0|1.1 10
1232 大統益|食品工業|-15 -12 -15|96 97 1 -2|1.4 6
1268 漢來美食|觀光餐旅|16 12 -30|87 93 -1 0|1.5 14
1301 台塑|塑膠工業|-6 -6 15|88 94 1 -4|0.8 333
1303 南亞|塑膠工業|-17 -18 9|86 94 3 -4|0.6 294
1304 台聚|塑膠工業|-11 -14 6|75 81 -3 -12|0.7 24
1305 華夏|塑膠工業|12 -4 13|78 85 -5 0|0.5 25
1307 三芳|塑膠工業|0 -5 -0|95 95 -1 13|0.4 7
1308 亞聚|塑膠工業|-36 -33 -4|81 88 -1 -6|0.9 19
1309 台達化|塑膠工業|4 5 21|72 81 -4 -15|0.8 8
1310 台苯|塑膠工業|19 9 30|89 93 -1 0|0.6 9
1312 國喬|塑膠工業|-6 -5 9|75 82 -5 -14|1.8 52
1313 聯成|塑膠工業|14 26 26|87 87 2 6|0.6 20
1316 上曜|建材營造|12 -44 -4|98 98 27 19|0.8 27
1319 東陽|汽車工業|28 20 9|87 87 -3 47|0.5 430
1321 大洋|塑膠工業|50 2 23|90 90 5 7|1.0 11
1324 地球|塑膠工業|-26 1 6|85 85 10 56|0.1 14
1325 恆大|塑膠工業|-38 -24 3|88 88 74 72|1.2 133
