# 2022-10-03 全池(961 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|19 16 12|74 80 -7 -21|2.1 1228
1102 亞泥|水泥工業|-2 8 -3|87 87 -4 -11|1.3 458
1104 環泥|水泥工業|40 33 17|91 91 -4 1|1.1 8
1201 味全|食品工業|5 4 1|84 88 -1 -6|1.0 6
1210 大成|食品工業|34 13 -1|83 83 -2 -13|1.5 27
1215 卜蜂|食品工業|17 15 -2|97 97 13 12|0.7 17
1216 統一|食品工業|16 14 4|98 98 0 5|1.3 448
1218 泰山|食品工業|10 11 -4|94 94 -3 24|0.6 16
1219 福壽|食品工業|16 17 1|72 72 1 -6|0.6 14
1227 佳格|食品工業|-5 -17 -5|74 78 -14 -20|1.9 18
1229 聯華|食品工業|5 10 -7|74 80 -5 -19|1.3 58
1231 聯華食|食品工業|10 13 4|85 85 -12 -6|1.7 15
1232 大統益|食品工業|34 33 13|94 95 1 2|1.0 8
1258 其祥-KY|食品工業|14 16 9|75 75 3 2|0.1 5
1301 台塑|塑膠工業|-25 -10 -25|79 86 2 -11|0.9 683
1303 南亞|塑膠工業|-26 -19 -30|80 83 4 -17|1.1 388
1304 台聚|塑膠工業|-14 -6 -17|54 75 -8 -22|0.6 31
1305 華夏|塑膠工業|-32 -19 -28|48 66 -20 -34|1.3 24
1308 亞聚|塑膠工業|37 23 -12|63 84 12 -15|0.9 69
1309 台達化|塑膠工業|-17 -9 -11|60 74 -11 -26|1.3 12
1310 台苯|塑膠工業|-25 -1 -28|65 78 -2 -22|1.1 5
1312 國喬|塑膠工業|-25 -19 -15|63 73 -10 -26|1.0 41
1313 聯成|塑膠工業|-34 -18 -28|50 70 -17 -30|1.2 10
1316 上曜|建材營造|51 436 264|47 62 -19 -38|3.1 15
1319 東陽|汽車工業|19 22 9|87 87 -2 53|0.5 317
1321 大洋|塑膠工業|1 11 -4|89 89 11 2|0.7 6
1325 恆大|塑膠工業|1 -32 32|43 55 -12 -41|0.9 7
1326 台化|塑膠工業|-6 5 -12|87 89 -2 -8|1.1 191
1336 台翰|電子零組|32 25 4|83 83 33 32|0.4 12
1338 廣華-KY|汽車工業|11 17 7|92 92 -3 5|0.5 14
1339 昭輝|汽車工業|4 8 13|90 90 3 21|0.3 7
1342 八貫|其他|16 16 -26|85 85 12 16|1.4 41
1402 遠東新|紡織纖維|14 17 0|97 97 8 9|1.1 302
1409 新纖|紡織纖維|4 8 -13|84 88 1 -13|0.9 28
1410 南染|紡織纖維|-32 -25 -12|89 89 21 14|1.2 38
1432 大魯閣|運動休閒|101 276 200|63 87 2 -5|1.3 7
1434 福懋|紡織纖維|21 15 3|91 97 7 0|1.4 31
1440 南紡|紡織纖維|14 5 0|63 74 -9 -27|0.8 17
1442 名軒|建材營造|-48 -76 -27|94 94 35 28|1.3 38
1444 力麗|紡織纖維|9 10 -21|85 87 7 -3|0.9 42
1446 宏和|紡織纖維|-34 8 27|85 85 0 -1|3.0 8
1449 佳和|紡織纖維|21 -14 -26|87 91 55 1|1.7 10
1451 年興|紡織纖維|1 10 -6|82 82 8 17|0.6 9
1453 大將|建材營造|104187 61283 11785|45 45 -13 9|0.2 12
1464 得力|紡織纖維|32 26 6|88 91 11 -5|0.6 5
