# 2024-06-03 全池(1268 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|28 3 8|86 95 3 -6|0.9 663
1102 亞泥|水泥工業|-21 -28 -15|90 90 4 -0|1.5 373
1103 嘉泥|水泥工業|8 2 -21|83 97 6 -4|1.1 8
1104 環泥|水泥工業|7 -4 -12|96 96 8 19|0.4 41
1108 幸福|水泥工業|8 -3 -23|95 98 4 12|0.4 15
1109 信大|水泥工業|-20 -33 -27|93 93 9 8|0.5 9
1110 東泥|水泥工業|-6 -1 -25|100 100 27 20|2.7 7
1201 味全|食品工業|12 11 1|93 98 2 -1|3.1 12
1210 大成|食品工業|-4 -9 -5|91 94 -6 1|0.8 90
1215 卜蜂|食品工業|-11 -10 -8|93 93 7 11|0.8 56
1216 統一|食品工業|19 18 2|99 99 5 10|1.5 872
1217 愛之味|食品工業|3 -1 -1|84 99 5 4|0.9 13
1218 泰山|食品工業|8 2 -1|74 99 6 6|2.3 27
1219 福壽|食品工業|-6 -17 -10|92 97 0 -3|0.8 7
1220 台榮|食品工業|-5 0 -2|90 90 12 11|0.4 8
1225 福懋油|食品工業|-3 -16 -7|100 100 67 68|1.3 7
1227 佳格|食品工業|1 -1 -4|99 99 13 8|1.3 55
1229 聯華|食品工業|34 9 -6|97 97 -0 -2|1.0 58
1231 聯華食|食品工業|6 6 5|99 99 13 11|0.5 13
1232 大統益|食品工業|0 -10 -3|98 98 -0 1|0.9 8
1234 黑松|食品工業|-4 1 -4|99 99 7 9|0.6 5
1256 鮮活果汁-KY|食品工業|-8 -23 -39|65 78 -15 -17|0.7 5
1268 漢來美食|觀光餐旅|6 40 1|92 97 10 12|0.6 28
1301 台塑|塑膠工業|3 -12 -1|72 80 -8 -20|1.4 501
1303 南亞|塑膠工業|2 -10 7|67 76 -7 -23|3.0 637
1304 台聚|塑膠工業|2 -11 4|64 76 -12 -20|0.8 41
1305 華夏|塑膠工業|-20 -24 -7|67 75 -8 -24|2.2 30
1307 三芳|塑膠工業|21 -0 1|95 95 20 19|0.4 30
1308 亞聚|塑膠工業|1 -8 15|68 75 -15 -23|0.8 19
1309 台達化|塑膠工業|28 5 8|77 89 -4 -9|1.1 13
1310 台苯|塑膠工業|7 -5 3|77 79 -6 -21|1.5 11
1312 國喬|塑膠工業|19 -14 -2|77 89 2 -11|1.4 58
1313 聯成|塑膠工業|10 -6 -21|76 81 -9 -17|1.0 27
