# 2025-11-03 全池(1119 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|-0 -4 -34|63 72 -11 -27|0.9 514
1102 亞泥|水泥工業|-2 -10 -9|79 83 -12 -18|1.0 136
1104 環泥|水泥工業|18 1 3|95 95 17 13|0.4 29
1210 大成|食品工業|1 -4 -2|83 83 -11 -13|1.1 123
1215 卜蜂|食品工業|5 1 -0|95 95 16 31|0.9 131
1216 統一|食品工業|1 -1 -6|90 93 -2 -0|0.7 475
1218 泰山|食品工業|-10 -6 0|87 88 -3 -10|1.1 17
1227 佳格|食品工業|3 -5 -6|85 87 -3 -15|0.7 19
1229 聯華|食品工業|35 16 23|82 97 8 9|0.9 66
1231 聯華食|食品工業|16 7 -5|62 71 -23 -19|0.8 47
1232 大統益|食品工業|3 -1 2|91 91 -4 -7|1.2 11
1234 黑松|食品工業|-7 -14 -6|92 92 -7 -5|1.1 5
1256 鮮活果汁-KY|食品工業|-3 11 17|84 84 29 32|0.8 11
1295 生合|食品工業|-5 -20 na|na na -3 na|0.2 31
1301 台塑|塑膠工業|-16 -17 -12|78 88 -0 5|0.8 648
1303 南亞|塑膠工業|3 -3 -8|89 89 10 35|0.5 1689
1304 台聚|塑膠工業|-13 -18 -10|71 89 0 -2|0.9 30
1305 華夏|塑膠工業|-19 -8 6|68 86 0 -4|0.8 10
1307 三芳|塑膠工業|1 -8 -11|63 84 -6 -15|1.1 29
1308 亞聚|塑膠工業|41 7 9|62 89 3 0|0.9 24
1309 台達化|塑膠工業|-31 -34 -28|57 86 -4 -11|0.8 7
1312 國喬|塑膠工業|76 18 -10|81 81 8 -18|0.7 40
1313 聯成|塑膠工業|3 -8 4|88 91 5 19|0.5 22
1316 上曜|建材營造|172 224 10|79 94 10 -5|0.5 74
1319 東陽|汽車工業|-11 -15 -17|73 75 -7 -19|0.9 206
1325 恆大|塑膠工業|-8 -13 -5|76 76 2 14|0.6 14
1326 台化|塑膠工業|-16 -20 -6|74 93 9 15|0.7 376
1342 八貫|其他|10 5 -7|76 86 -4 -13|0.9 11
1402 遠東新|紡織纖維|-2 -9 -5|74 83 -7 -18|1.2 219
1409 新纖|紡織纖維|-18 -15 -13|78 78 8 5|0.5 52
1414 東和|紡織纖維|-20 -19 -6|69 88 -1 -9|0.5 9
1419 新紡|紡織纖維|12 13 -6|71 71 8 35|2.3 43
1434 福懋|紡織纖維|-9 -8 -8|75 88 -8 -12|1.0 17
1436 華友聯|建材營造|-92 -46 -1321|45 54 -16 -45|0.5 19
1440 南紡|紡織纖維|-22 -29 -16|83 88 -2 -9|0.6 11
1442 名軒|建材營造|-80 -78 -23|44 46 -46 -49|0.7 51
1449 佳和|紡織纖維|-37 -29 -20|38 75 -14 -22|1.0 8
1463 強盛新|紡織纖維|-0 -15 -308|61 83 -10 -22|0.5 6
1464 得力|紡織纖維|-3 -5 -22|58 80 -17 -19|1.0 5
